Date,ActivityType,RouteName,Distance,Duration,AveragePace,AverageSpeed,CaloriesBurned,Climb,AverageHeartRate,Notes,GPXFile
2016-02-08 07:29:00,Running,,2.77,21:59,7:56,7.56,207.0,22.27,,,2016-02-08-0729.gpx
2016-02-07 15:21:49,Running,,2.50,20:04,8:01,7.49,188.0,26.73,,,2016-02-07-1521.gpx
2016-02-06 07:11:31,Running,,10.53,1:21:22,7:44,7.76,802.0,87.82,,,2016-02-06-0711.gpx
2016-02-05 06:51:51,Running,,2.99,25:26,8:30,7.06,207.0,20.27,,,2016-02-05-0651.gpx
2016-02-04 06:37:19,Running,,4.03,34:22,8:31,7.04,279.0,29.45,,,2016-02-04-0637.gpx
2016-02-03 07:28:03,Running,,3.30,29:26,8:54,6.74,218.0,23.35,,,2016-02-03-0728.gpx
2016-02-02 07:10:54,Running,,3.38,29:09,8:37,6.97,232.0,22.36,,,2016-02-02-0710.gpx
2016-02-01 06:33:18,Running,,2.90,24:13,8:20,7.20,206.0,23.73,,,2016-02-01-0633.gpx
2016-01-31 08:30:26,Running,,4.93,44:24,9:00,6.66,475.0,406.06,,,2016-01-31-0830.gpx
2016-01-30 07:13:33,Running,,5.17,45:07,8:44,6.87,491.0,434.62,,,2016-01-30-0713.gpx
2016-01-29 06:53:40,Running,,1.61,13:37,8:28,7.09,114.0,10.89,,,2016-01-29-0653.gpx
2016-01-29 06:44:16,Running,,0.00,8:25,,,0.0,0.00,,,2016-01-29-0644.gpx
2016-01-28 06:32:55,Running,,2.50,18:26,7:23,8.13,196.0,19.09,,,2016-01-28-0632.gpx
2016-01-27 07:27:00,Running,,2.50,17:48,7:07,8.44,204.0,21.64,,,2016-01-27-0727.gpx
2016-01-26 09:46:02,Running,,2.55,15:15,5:58,10.05,195.0,18.12,,,2016-01-26-0946.gpx
2016-01-25 07:25:42,Running,,2.59,17:27,6:44,8.92,210.0,20.30,,,2016-01-25-0725.gpx
2016-01-24 08:49:07,Running,,1.01,7:27,7:24,8.11,80.0,7.65,,,2016-01-24-0849.gpx
2016-01-24 08:18:37,Running,,2.47,18:50,7:37,7.88,188.0,17.10,,,2016-01-24-0818.gpx
2016-01-23 08:14:53,Running,,2.54,19:31,7:41,7.81,194.0,17.45,,,2016-01-23-0814.gpx
2016-01-22 07:24:05,Running,,2.66,20:34,7:44,7.76,205.0,0.00,,,
2016-01-21 06:27:48,Running,,2.84,22:07,7:47,7.71,214.0,21.45,,,2016-01-21-0627.gpx
2016-01-20 06:53:01,Running,,2.77,18:50,6:48,8.83,214.0,9.91,,,2016-01-20-0653.gpx
2016-01-19 07:18:12,Running,,2.55,20:10,7:54,7.59,188.0,12.21,,,2016-01-19-0718.gpx
2016-01-18 07:28:32,Running,,2.84,19:59,7:02,8.53,210.0,5.10,,,2016-01-18-0728.gpx
2016-01-17 08:33:01,Running,,2.99,23:11,7:46,7.73,213.0,7.61,,,2016-01-17-0833.gpx
2016-01-16 06:16:59,Running,,3.46,29:50,8:38,6.95,246.0,28.08,,,2016-01-16-0616.gpx
2016-01-15 06:35:52,Running,,2.55,19:54,7:47,7.70,194.0,14.00,,,2016-01-15-0635.gpx
2016-01-14 07:01:06,Running,,3.33,28:31,8:34,7.00,234.0,25.91,,,2016-01-14-0701.gpx
2016-01-13 06:41:38,Running,,2.59,19:13,7:26,8.07,192.0,19.82,,,2016-01-13-0641.gpx
2016-01-12 06:57:19,Running,,2.60,19:55,7:39,7.85,190.0,21.36,,,2016-01-12-0657.gpx
2016-01-11 08:38:26,Running,,2.91,23:41,8:09,7.37,205.0,24.36,,,2016-01-11-0838.gpx
2016-01-10 08:58:12,Running,,2.55,17:22,6:48,8.83,192.0,15.65,,,2016-01-10-0858.gpx
2016-01-09 07:17:04,Running,,2.54,18:52,7:25,8.09,188.0,21.71,,,2016-01-09-0717.gpx
2016-01-08 06:25:27,Running,,2.56,18:22,7:10,8.38,196.0,21.45,,,2016-01-08-0625.gpx
2016-01-07 07:02:06,Running,,2.53,18:52,7:28,8.04,186.0,20.82,,,2016-01-07-0702.gpx
2016-01-06 06:36:18,Running,,2.84,21:18,7:30,8.01,207.0,24.24,,,2016-01-06-0636.gpx
2016-01-05 06:30:44,Running,,2.82,21:57,7:46,7.72,200.0,19.18,,,2016-01-05-0630.gpx
2016-01-04 07:48:16,Running,,2.58,19:21,7:29,8.01,191.0,21.55,,,2016-01-04-0748.gpx
2016-01-03 09:10:12,Running,,2.57,20:49,8:06,7.40,176.0,14.29,,,2016-01-03-0910.gpx
2016-01-02 07:52:51,Running,,2.73,22:21,8:11,7.33,188.0,16.99,,,2016-01-02-0752.gpx
2016-01-01 08:48:20,Running,,2.48,19:16,7:47,7.71,173.0,14.45,,,2016-01-01-0848.gpx
